10,11,12,13,14,23,26,38,39,41,42,37,43,40,24,25,27,28,29,30,32,33,34,35,36,44,45,46,47,48,49,50,51,52,53,54,55
1,2,3,4,5,6,7,20,21,22,23,24,25,26,8,9,10,11,12,13,14,16,17,18,19,27,28,29,30,31,32,33,34,35,36,37,38
856.6519824,865.2863436,843.0837004,863.4361233,852.3348018,512.5110132,867.1365639,844.9339207,857.2687225,851.7180617,849.8678414,843.7004405,852.3348018,823.5294118,512.5110132,903.5242291,862.2026432,861.5859031,567.4008811,864.6696035,859.7356828,862.2026432,862.8193833,834.4493392,835.6828194,843.7004405,846.784141,844.3171806,848.0176211,840,841.8502203,845.5506608,858.5022026,859.7356828,857.8854626,856.6519824,856.0352423
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.35242291,0,0,0,0,0,0,21.58590308,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.83700441,0,0,1.850220264,0,0,1.850220264,27.75330396,0,0,0,0
0,0,0,0,0,0,0,0,0,18.50220264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.30396476,0,0,8.017621145,0,0,4.933920705,33.92070485,1.850220264,0,0,0
0,9.251101322,0,0,0,0,8.634361233,0,0,27.75330396,0,8.634361233,0,0,0,9.251101322,0,0,0,4.933920705,0,6.167400881,0,11.10132159,0,35.15418502,0,0,17.26872247,388.5462555,0,5.550660793,39.47136564,5.550660793,0,0,0
0,22.20264317,43.78854626,0,0,3.083700441,14.80176211,7.400881057,0,34.53744493,13.56828194,17.26872247,0,0,0,14.18502203,0,0,0,9.86784141,0,15.4185022,0,30.83700441,0,0,0,0,21.58590308,385.4625551,0,8.634361233,53.65638767,9.86784141,0,0,0
0,37.62114537,45.02202643,2.466960352,26.51982379,11.71806167,26.51982379,16.65198238,0,68.45814978,17.88546256,38.23788546,0,0,0,19.11894273,0,0,0,35.15418502,4.317180617,27.75330396,0,45.02202643,0,0,0,0,27.13656388,386.0792952,0,35.77092511,62.90748899,24.05286344,0,0,8.634361233
0,59.20704846,43.78854626,10.4845815,0,22.20264317,48.10572687,27.13656388,0,80.17621145,21.58590308,43.78854626,11.10132159,0,0,38.85462555,0,0,0,46.25550661,16.03524229,45.63876652,0,62.90748899,0,0,0,6.167400881,66.60792952,389.1629956,0,45.02202643,72.7753304,30.22026432,0,0,25.28634361
